model_key,model_id,architecture,role,workload,concurrency,target_prompt_tokens_per_request,target_output_tokens_per_request,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_count,prompt_tokens_per_second_mean,prompt_tokens_per_second_std,prompt_tokens_per_second_count,output_tokens_per_second_mean,output_tokens_per_second_std,output_tokens_per_second_count,total_tokens_per_second_mean,total_tokens_per_second_std,total_tokens_per_second_count,mean_request_latency_seconds_mean,mean_request_latency_seconds_std,mean_request_latency_seconds_count,p95_request_latency_seconds_mean,p95_request_latency_seconds_std,p95_request_latency_seconds_count
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,decode,64,32,256,4.686870476333373,0.3309543747383452,3,438.3665065633956,29.76502605303005,3,3506.932052507165,238.12020842424062,3,3945.29855907056,267.88523447727107,3,4.6758200404531225,0.33074267127492496,3,4.684108691666704,0.33118973134065494,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,prefill,8,128,1,0.20948233999994648,0.0014065326707216423,3,4888.386752566621,32.73568695078049,3,38.19052150442673,0.2557475543029751,3,4926.577274071048,32.991434505083575,3,0.20799565620834903,0.0014210206696709398,3,0.2090105030000207,0.0012339720472984536,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,prefill,8,512,1,0.828095372333261,0.0024421085081894472,3,4946.318855696062,14.590580423661873,3,9.660779015031371,0.02849722738996532,3,4955.979634711093,14.619077651051438,3,0.8263829844582915,0.002513256493625362,3,0.8273881719999281,0.0022782789389194985,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,prefill,8,1024,1,1.6708019839999604,0.008577603655405703,3,4903.121013857658,25.237449155361823,3,4.788204115095369,0.02464594644078303,3,4907.909217972753,25.262095101802682,3,1.6689155138333642,0.00850251924166522,3,1.6701585213333299,0.008666442115856082,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,prefill,8,2048,1,3.4219217426666546,0.013163881475462696,3,4788.000031467317,18.392576356040724,3,2.337890640364901,0.00898075017384801,3,4790.337922107682,18.401557106214316,3,3.419274007958317,0.013243073228747614,3,3.4207276670000133,0.013354711689010356,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,prefill,8,3072,1,5.204080539666696,0.02307922951522356,3,4722.5098175422,20.89150630735227,3,1.5372753312311849,0.006800620542757767,3,4724.047092873431,20.89830692789436,3,5.201240420791653,0.023116015837851122,3,5.202954319333382,0.023252880362591093,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,prefill,8,128,1,0.11023724800005157,0.0023150026757845377,3,9291.812560853428,196.88272502024594,3,72.59228563166742,1.5381462892206785,3,9364.404846485098,198.42087130946655,3,0.10863189854170696,0.0024624500323658888,3,0.10968090233344203,0.0026452019757874927,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,prefill,8,512,1,0.2675481709999682,0.006504883643408539,3,15315.513727116275,377.6440302223033,3,29.913112748273974,0.7375859965279388,3,15345.426839864549,378.38161621883165,3,0.265670724291643,0.006464525389147513,3,0.2667758920000172,0.006368958694396799,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,prefill,8,1024,1,0.516412697333332,0.0065995660682015645,3,15865.01122728607,203.0280326165613,3,15.493175026646554,0.19826956310210986,3,15880.504402312718,203.22630217966264,3,0.5145182523333176,0.0066855545591173165,3,0.5158849226666007,0.006809343876577952,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,prefill,8,2048,1,1.0226877953333162,0.004899520721348496,3,16020.77528796001,76.95412162701122,3,7.822644183574224,0.03757525470068816,3,16028.597932143583,76.99169688171114,3,1.0202749620833629,0.004897016146192923,3,1.022285234999951,0.0049025520523358675,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,prefill,8,3072,1,1.5632405449999471,0.00274260974299218,3,15721.221201610935,27.56459629048404,3,5.1175850265660605,0.008972850354975782,3,15726.338786637503,27.573569140839943,3,1.5602393107500063,0.002830247429672112,3,1.5625575893334371,0.0027852873553361286,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,prefill,8,128,1,0.06855038166668233,0.02292257061518775,3,15934.167546092658,4469.654271492761,3,124.48568395384889,34.919173996037195,3,16058.65323004651,4504.573445488799,3,0.06642738158330984,0.021945123401246,3,0.0681696519998998,0.022882282249782917,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,prefill,8,512,1,0.16664584933338722,0.0027801539867437428,3,24583.604649430697,407.72830396170104,3,48.01485283091933,0.7963443436751974,3,24631.619502261616,408.52464830537775,3,0.16015347083331713,0.005334110690219819,3,0.1655945480000203,0.002897949504948551,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,prefill,8,1024,1,0.33557533233344355,0.003989958160069386,3,24414.0919176045,288.3525647943218,3,23.841886638285644,0.28159430155695386,3,24437.933804242788,288.6341590958788,3,0.3336893265416639,0.003828195096563682,3,0.33497529266666487,0.004020197068221098,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,prefill,8,2048,1,0.6751816316665705,0.001347169395531503,3,24266.12735125179,48.389536655926285,3,11.848694995728414,0.02362770344527673,3,24277.97604624752,48.41316435937288,3,0.67279424891665,0.001229879118227332,3,0.6741118396666934,0.0011155647944663906,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,prefill,8,3072,1,1.0308983253333583,0.000902945655295086,3,23839.414580556408,20.87837409812776,3,7.760226100441539,0.00679634573506821,3,23847.17480665685,20.885170443866183,3,0.9922182870000144,0.06139434611354392,3,1.0299484413333175,0.0010389627869908016,3
